"","tmin","tmax","prcp","swe","elevation","biomass","tree_cover","bare_ground"
"grandcanyon.e",0.714100362521724,17.7453749867578,39.0535714285714,6.71428571428571,2041,330.916923076923,12.4769230769231,18.6723076923077
"grandcanyon.m",0.883672279163798,17.9147522741948,38.8214285714286,6.35714285714286,2035,150.699230769231,20.6392307692308,19.9276923076923
"grandcanyon.t",0.743076088889393,17.7110183209361,39.2797619047619,7.26190476190476,2039,203.530769230769,18.3192307692308,13.0946153846154
"hesperus.ha",0.176824329564974,15.292416168822,46.2797619047619,16.9047619047619,2389,543.716153846154,3.10769230769231,13.0961538461538
"hesperus.hb",0.176824329564974,15.292416168822,46.2797619047619,16.9047619047619,2394,601.747692307692,2.53923076923077,13.45
"limestone.c1",3.41231303236905,21.3159573168348,33.4940476190476,1.26190476190476,1665,206.074615384615,20.0684615384615,13.2046153846154
"limestone.s1",3.23429317407349,21.1334512127988,34.0892857142857,1.4047619047619,1664,221.16,21.3976923076923,12.8330769230769
"limestone.s2",3.58697312490068,21.4990953824986,33.172619047619,0.880952380952381,1660,202.877692307692,19.3538461538462,10.6784615384615
"molina.ma",1.13810720339304,16.0972721564525,38.5654761904762,10.0714285714286,2041,233.246153846154,15.4561538461538,16.4269230769231
"molina.mb",1.8263911983963,16.8673370622813,35.9583333333333,5.71428571428571,2040,207.723076923077,22.8053846153846,14.8438461538462
"navajo.1",-0.361304092920075,18.0960823266088,30.625,9.14285714285714,2160,324.626153846154,19.91,13.0761538461538
"navajo.2",-0.361304092920075,18.0960823266088,30.625,9.14285714285714,2160,255.97,29.0238461538462,12.7584615384615
"pcms.mrc",3.02702208015205,20.8335594995321,31.9642857142857,6.47619047619048,1493,1030.03846153846,0.137692307692308,12.8669230769231
"pcms.rrc",3.06707348679182,20.8865765044431,31.2797619047619,6.38095238095238,1463,1080.17846153846,0.635384615384615,12.4046153846154
"placitas.1",4.15756474030101,20.2655031399842,29.0714285714286,1.73809523809524,1891,354.006153846154,5.9,18.7184615384615
"placitas.2",4.20180107684527,20.2800830366444,28.875,1.35714285714286,1708,350.006153846154,5.56846153846154,17.8330769230769
"placitas.3",4.35420151421711,20.6247488785095,27.8571428571429,1.30952380952381,1799,339.936153846154,6.66230769230769,18.02
"sevilleta.1",4.590001826,23.98028493,18.82044444,0.163666667,1525,110.185384615385,0.360769230769231,49.9569230769231
"sevilleta.2",4.590001826,23.98028493,18.82044444,0.163666667,1586,113.431538461538,0.459230769230769,49.2676923076923
"sevilleta.3",4.592834703,24.00453881,18.82133333,0.160944444,1433,162.291538461538,0.39,39.6507692307692
"walnutcreek.a",4.33953563766997,22.0599053984775,33.5178571428571,0.666666666666667,1569,280.619230769231,18.4853846153846,7.78923076923077
"walnutcreek.w",4.80934048350523,21.0538868221556,35.3690476190476,0.880952380952381,1585,145.456153846154,19.5115384615385,15.5746153846154
"zuni.1",0.853847379237197,19.9726468641776,24.4404761904762,2.9047619047619,2040,227.573076923077,6.99230769230769,33.6292307692308
"zuni.2",0.754307396855665,19.8081686646665,24.9404761904762,3.14285714285714,2040,255.640769230769,9.54692307692308,28.4461538461538
