web,n_months,ai,ch,ci,dm,do,ml,mm,mn,mp,mu,nc,ni,nl,nm,ns,oa,ol,pb,pe,pf,pl,pm,pn,pt,pv,rg,ro,sh,sp,sv,td,tf,tm,tq,invSimpson,prevalence,in2018pub
grandcanyon.e,18,0,0,0,0,0.434278607,0,28.18860495,0,0,0,0,0,0,1.830841079,0,0,0.218963534,0.058027128,0,0.770921663,0,66.06858044,0,0.062678964,0.141390365,0.169667595,0,0,0,0,0,0,0,0,1.749243573,0.258056754,Y
grandcanyon.m,20,0,0,0,0,0.507848605,0,2.109314147,0,0,0,0,0,0,0.123820319,0,0,0.175746597,0.109169625,0,0,0,37.02131303,0,3.229422172,0,0,0,0,0,0,0.319761191,0,0,0,1.325350104,0.301269478,Y
grandcanyon.t,20,0,0,0,0,0,0,1.452541871,0,0,0,0,0,0,6.643374573,0,0,0,0.337954376,0,0,0,33.51749546,0,0.760093459,0,0,0,0,0,0,2.354066203,0,0,0,1.80566739,0.132330173,Y
hesperus.ha,45,0,0,0,0,0,0.028303237,0.130505248,0.410731387,0,0,0,0,0,0,0,0,0,0.046421702,0,0,0,26.18352505,0,0.08710346,0,0,0,0,0,0,0,0,5.944663867,0,1.475682072,0.136767279,Y
hesperus.hb,45,0,0,0,0,0,0,0.234909447,0.108317733,0,0,0,0,0,0,0,0,0,0.025308982,0,0,0,28.58786411,0,0.058068973,0,0,0,0,0,0,0,0,1.382808,0,1.119063142,0.156482442,Y
limestone.c1,48,0,0,0,0,0.741629853,0,0,0,0,0,0,0,0,0,0.279576243,0,0,13.33062523,0,0.029810803,0.348524656,0,0,3.183130253,0.11198,0.031812674,0,0,0,0,0.956748862,0,0,0,1.962843893,0,N
limestone.s1,50,0,0,0,0,0.021908231,0,0,0,0,0,0,0,0,0,0.105498759,0,0,11.96924458,0,0,0.046607781,0.022022723,0,5.196724154,0.025450266,0,0,0,0,0,1.558001289,0,0,0,1.855283579,0,N
limestone.s2,50,0,0,0,0,1.37219427,0,0,0,0,0,0,0,0,0,0.346482576,0,0.191727154,18.80326508,0,0,0.287975889,0.044045445,0,5.384744721,0.025450266,0.050172564,0,0,0,0,1.231236544,0,0,0,2.084269898,0.004166667,N
molina.ma,41,0,0,0,0,0,0,0,0,0,0,0.302206258,0,0,0,0,0,0,0,0,0,0.033498162,13.47268801,0,7.26504847,0,0.061186053,0,0,0,0,0,1.194735191,1.926385554,0,2.130598382,0.051675418,Y
molina.mb,41,0,0,0,0,0,0,0,0.152165792,0,0.032210808,0.029101616,0,0.027874082,0,0,0,0,0,0,0,0,12.99931226,0,7.854715401,0,0.030593027,0,0,0,0,0,0.806446254,2.064007596,0,2.020115125,0.072712663,Y
